first name,weight
Juha,0.016721523307518665
Timo,0.016532626311695848
Matti,0.015515893876012076
Kari,0.014775733735009124
Mikko,0.01436407374809645
Jari,0.014152599422095605
Antti,0.014011867397319243
Jukka,0.012624866746715846
Mika,0.012593258484466609
Markku,0.012128541771635573
Pekka,0.011770691088313861
Hannu,0.011001932995752075
Heikki,0.010608334872981821
Janne,0.010374283216802952
Ari,0.010028097487406554
Seppo,0.010024334599043548
Sami,0.009888870617975392
Ville,0.009702983932842978
Marko,0.009430927104197765
Petri,0.009039586714445314
Lauri,0.008568096802560871
Jani,0.00855756071514446
Teemu,0.00762097780159268
Erkki,0.007584477784471538
Harri,0.007403106565374729
Jorma,0.007330106531132445
Pentti,0.0072345291667121345
Jarmo,0.006853724864376096
Eero,0.006818353713763855
Jaakko,0.006777714519443408
Jussi,0.006749869145557177
Pasi,0.006731054703742155
Risto,0.0066031164994000075
Juho,0.006461255608114744
Raimo,0.0064236267244847005
Niko,0.006369441132057438
Toni,0.006290420476434347
Esa,0.006259941080694012
Jouni,0.006204250332921548
Arto,0.006005193538518618
Markus,0.005944611035874249
Pertti,0.005906982152244206
Aleksi,0.005878007911849072
Tomi,0.005821940875240308
Tuomas,0.005797105812044479
Martti,0.005740286197763113
Vesa,0.005690616071371456
Reijo,0.005675188229083138
Olli,0.0056484717217058075
Kimmo,0.005500590209039737
Joni,0.005463713903082295
Jouko,0.0054479097719576765
Veikko,0.005443018017085771
Tommi,0.0053929716018578135
Tero,0.005205579761380198
Esko,0.00506936320263944
Joonas,0.004972656971710229
Eetu,0.004863533209183103
Henri,0.004784512553560012
Leo,0.004691569210993805
Kalle,0.004247924672995594
Elias,0.004244914362305191
Jarkko,0.004239270029760684
Ilkka,0.004174172061080709
Jesse,0.004172666905735508
Joona,0.004081228718514502
Eino,0.004002208062891411
Paavo,0.003920177096577916
Tuomo,0.003874646147385564
Mikael,0.003866744081823255
Pauli,0.00382761004284801
Jere,0.0037561151639509275
Onni,0.0037448264988619146
Matias,0.003681233685527141
Juuso,0.003636079025171089
Tapio,0.0035867851876157323
Leevi,0.003417078922444237
Veli,0.00337643972812379
Arttu,0.003373053128597086
Simo,0.003242857191237136
Jyrki,0.0032413520358919343
Joel,0.0031849087104468695
Keijo,0.003163083957941444
Lasse,0.0031461509603079247
Niklas,0.003045681841015709
Väinö,0.003033640598254095
Aki,0.003005795224367863
Riku,0.0029704240737556224
Daniel,0.0029429549887056905
Otto,0.0029418261221967894
Juhani,0.0029403209668515877
Kai,0.0029331714789618793
Toivo,0.0028500116461394834
Veeti,0.0028221662722532513
Miika,0.0028153930731998436
Mauri,0.002782655944441706
Niilo,0.002748037371502066
Jarno,0.0027461559273205638
Valtteri,0.002695733223256306
Jan,0.0026445579415194467
Rasmus,0.002593382659782588
Oliver,0.0025772022398216693
Kauko,0.0024300733048281996
Rauno,0.0024300733048281996
Reino,0.0024221712392658904
Roope,0.0023751351347283366
Anton,0.0023525578045503104
Teuvo,0.002280310347980627
Santeri,0.0022543464182758974
Ossi,0.0022528412629306957
Oskari,0.002246444352713588
Emil,0.0022024185588664373
Atte,0.0021685525635993983
Olavi,0.0021677999859267974
Ismo,0.0021659185417452955
Miro,0.002160650498037089
Anssi,0.002150866988293278
Samuel,0.002111732949318033
Aaro,0.002110604082809132
Vilho,0.0020899081968126076
Aapo,0.002085769019613303
Veijo,0.0020515267355099634
Samu,0.0020447535364565557
Samuli,0.001998093720755302
Asko,0.001942402972982838
Tuukka,0.001942402972982838
Osmo,0.0019002586233171893
Lassi,0.0018754235601213607
Julius,0.0018750472712850603
Kim,0.0018517173634344333
Tauno,0.0018517173634344333
Eemeli,0.0018468256085625277
Kalevi,0.0017790936180284496
Konsta,0.0017328100911634964
Roni,0.0017260368921100885
Topi,0.0017155008046936765
Jimi,0.001711737916330672
Johan,0.0016853976977896418
Akseli,0.0016628203676116158
Aimo,0.0016455110811417959
Max,0.001633469838380182
Taisto,0.0016330935495438815
Henrik,0.0016090110640206538
Aatu,0.0016063770421665506
Alex,0.0016003564207857437
Eemil,0.0015883151780241298
Tatu,0.0015717584692269107
Henry,0.0015695007362091081
Miikka,0.0015615986706467991
Eeli,0.0015540728939207903
Yrjö,0.001543160517668078
Erik,0.0015382687627961723
Kasper,0.0015352584521057687
Jyri,0.001525851231198258
Johannes,0.0015217120539989532
Vili,0.0015187017433085496
Viljami,0.0015171965879633479
Karl,0.0015100471000736397
Tarmo,0.001508541944728438
Tapani,0.001499887301493528
Aarne,0.001491232658258618
Patrik,0.0014901037917497168
Saku,0.001477309971315502
Benjamin,0.0014742996606250986
Sakari,0.0014630109955360855
Mauno,0.001443443976048463
Tom,0.0014415625318669608
Viljo,0.00142350066772454
Sauli,0.0013903872501301018
Oiva,0.0013900109612938014
Lenni,0.0013877532282759988
Ilpo,0.0013760882743506853
Ahti,0.0013463614562829512
Kristian,0.0013365779465391399
Eelis,0.0013324387693398351
Rami,0.0013030882401084012
Hugo,0.0012861552424748817
Kaarlo,0.0012854026648022809
Kaj,0.0012782531769125727
Veli-Matti,0.0012665882229872592
Lars,0.001256804713243448
Iiro,0.001250784091862641
Miska,0.001245516048154435
Jonne,0.0012436346039729328
Peter,0.0012436346039729328
Topias,0.0012406242932825294
Noel,0.0012387428491010273
Otso,0.0012379902714284262
Alpo,0.0012206809849586062
Luka,0.001209016031033293
Aaron,0.0012071345868517908
Arvo,0.0012041242761613874
Sebastian,0.0011898253003819709
Juha-Pekka,0.001179665501801859
Jami,0.001177031479947756
Sampo,0.0011533252832608288
