middle name,weight
Juhani,0.08672055256020043
Olavi,0.04275987312973472
Antero,0.04239767511784844
Tapani,0.04146662430506411
Johannes,0.04087316223158146
Tapio,0.0331979087166359
Mikael,0.029905314246213247
Kalevi,0.02772234556656067
Petteri,0.022385288450647522
Ilmari,0.02135201450558867
Sakari,0.019035587847688794
Matias,0.01725141558530473
Kristian,0.01584742503400339
Pekka,0.01456111728621562
Matti,0.011808349295180967
Kalervo,0.011286822018484088
Oskari,0.010052572347317604
Henrik,0.00990996476772475
Ensio,0.008957459717302559
Markus,0.008705372425057666
Aleksi,0.00783174324830409
Valtteri,0.007456294089641484
Heikki,0.00709725111270195
Erik,0.006638193527950613
Jaakko,0.006133703439966153
Veikko,0.006025801244787488
Eemeli,0.005918214553103498
Samuli,0.005707142715166285
Antti,0.005701779155756819
Elias,0.005044900879844595
Armas,0.0049874792438138445
Samuel,0.004723087315276648
Viljami,0.004688697434357131
Onni,0.004440711687543007
Tuomas,0.004008787403333673
Petri,0.004003739347418882
Aleksanteri,0.0039302270331597325
Emil,0.003921077431814173
Uolevi,0.0038652333132567942
Lauri,0.0038425170616402334
Johan,0.003814121747119532
Alexander,0.0037525985656580124
Jalmari,0.0037210482161905666
Erkki,0.0037071660624248904
Sebastian,0.0036172475664426698
Oliver,0.0036144080349905998
Ilari,0.0035434197486888465
Veli,0.003432678022058111
Santeri,0.0033497006029587287
Eino,0.003305845617198979
Toivo,0.0032383278693386445
Einari,0.003073635045118577
Eemil,0.0030496567795233183
Kullervo,0.0030395606676937355
Juho,0.0030064328007529174
Allan,0.0030007537378487774
Aukusti,0.0029294499480523495
Juha,0.002889065500734019
Aulis,0.0028584616617505962
Martti,0.0027250036835033
Christian,0.0026830417187115973
Artturi,0.0025085682861566215
Benjamin,0.0024767024331945014
Väinö,0.0024385265103388917
Juhana,0.0024328474474347517
Hermanni,0.0023959335385578396
Daniel,0.0023861529302229316
Akseli,0.0023710087624785577
Ville,0.0023662762100584408
Anton,0.0023552335877448346
Elmeri,0.0022735181826241497
Vilhelm,0.002243545350630076
Eero,0.002166878001424183
Mikko,0.002123654022653782
Valdemar,0.0021182904632443163
Pentti,0.002105039316467989
Eerik,0.002092103673186336
Kalle,0.002086424610282196
Otto,0.002030895995219491
Paavo,0.001992404568869207
Julius,0.0019412930027319448
Jukka,0.0019198387650940815
Joonatan,0.0018734597513769362
Aatos,0.0018532675277177708
Henrikki,0.0018359148355106755
Kaarlo,0.0018308667795958842
Markku,0.0018075195209899743
Vilho,0.0017422102975923612
Edvard,0.001722018073933196
Iisakki,0.0017071894096834963
Topias,0.0016175864171959502
August,0.0016131693682705076
Leo,0.001603073256440925
Vihtori,0.0015866670747178532
Joonas,0.001583196536276434
Seppo,0.001577517473372294
Wilhelm,0.0015765709628882704
Kustaa,0.0015462826273995225
Rafael,0.001545336116915499
Anders,0.00154186557847408
Aarne,0.0015279834247084038
Peter,0.0015125237534693553
Taneli,0.001488229984379422
Kari,0.0014604656768480695
Verneri,0.0014472145300717424
Rainer,0.0014409044601782532
Marko,0.0013983114883972013
Nikolai,0.0013781192647380359
Jussi,0.0013743332228019424
Albert,0.0013730712088232445
Timo,0.0013714936913498722
Robert,0.0013629750969936618
Herman,0.0013595045585522427
Esko,0.0013544565026374514
Karl,0.0013434138803238454
Hannu,0.001296403859617351
Oskar,0.001277158146442209
Andreas,0.0012528643773522757
Iivari,0.001234565174661157
Gustav,0.0012279396012729936
Fredrik,0.001205538853151107
Aarre,0.0011910256923960817
Yrjö,0.001185662132986616
Rikhard,0.001182822601534546
Aaron,0.0011825070980398715
Kasperi,0.001163576888359404
Arvo,0.0011462241961523087
Gunnar,0.0011329730493759814
Eelis,0.0011048932383499546
Michael,0.001085963028669487
Pauli,0.0010821769867333936
Patrik,0.0010531506652233433
Pellervo,0.0010367444835002715
Viljo,0.0010354824695215736
Alvar,0.0010168677633357805
Olli,0.0010124507144103382
Pertti,0.000995098022203243
Niilo,0.000986894931341707
Risto,0.0009831088894056135
William,0.0009818468754269156
Pietari,0.0009802693579535433
Gabriel,0.0009749057985440775
Joakim,0.0009673337146718906
Ilkka,0.0009667027076825416
Olof,0.0009480880014967486
Aleksander,0.0009219012114387685
Henri,0.0009152756380506049
Mika,0.0009143291275665815
Jeremias,0.00090644154019972
Esa,0.0008938214004127416
Ari,0.0008843562955725079
Reino,0.0008830942815938101
Vesa,0.000875522197721623
Jouko,0.0008745756872375997
Päiviö,0.0008625865544399702
Anselmi,0.000848704400674294
Arvid,0.0008281966735204543
Eetu,0.0008272501630364309
Paavali,0.0008240951280896863
Jari,0.0008177850581961971
Severi,0.000810843981313359
Jorma,0.0008070579393772656
Alfred,0.0008057959253985677
Urho,0.0008029563939464976
Jan,0.0008004323659891019
Arto,0.0008001168624944275
Joel,0.0007979083380317062
Sulo,0.0007928602821169148
Oiva,0.0007843416877607044
Untamo,0.0007827641702873322
Kauko,0.0007792936318459132
Henry,0.0007622564431334924
Göran,0.0007578393942080499
Nestori,0.0007578393942080499
Kasper,0.0007543688557666309
Veikka,0.000753737848777282
Viktor,0.0007467967718944439
Jouni,0.0007452192544210716
Martin,0.0007445882474317227
Janne,0.000742064219474327
Eerikki,0.0007310215971607209
Carl,0.0007120913874802534
Frans,0.0006896906393583669
Tauno,0.0006833805694648776
Edvin,0.0006830650659702032
Kaleva,0.0006814875484968309
Axel,0.0006786480170447608
Aaro,0.0006751774786033417
Taisto,0.0006726534506459461
Viljam,0.000669813919193876
Niklas,0.0006669743877418059
Eljas,0.0006644503597844102
