last name,weight
Korhonen,0.004416740302354974
Virtanen,0.004282244675964611
Mäkinen,0.003944004186976941
Nieminen,0.003901974303729952
Mäkelä,0.0037410598935843386
Hämäläinen,0.003578744487330492
Laine,0.003534913323372918
Heikkinen,0.0034298386152554466
Koskinen,0.0033633913712649696
Järvinen,0.003154042524234731
Lehtonen,0.003110211360277157
Lehtinen,0.002934086135242157
Saarinen,0.002883249990743419
Salminen,0.0028480249457364186
Heinonen,0.0028097977662117765
Niemi,0.0027993903665506177
Heikkilä,0.002797388943538856
Kinnunen,0.002757360483303629
Salonen,0.002703121919684896
Turunen,0.0026098556073368166
Salo,0.0025482117785745667
Laitinen,0.002491771649642896
Rantanen,0.002437533086024163
Tuominen,0.0024349312361088733
Karjalainen,0.002423923409544186
Jokinen,0.0023542738887348904
Mattila,0.002352072323421953
Savolainen,0.002182751936626942
Lahtinen,0.0021701429716528453
Ahonen,0.002151930022245817
Ojala,0.0021173054041423453
Leppänen,0.0020872840589659246
Kallio,0.0019794073586319873
Leinonen,0.001966998535959067
Väisänen,0.0019645968283449533
Hiltunen,0.001959993555417902
Pitkänen,0.0019427813175167544
Miettinen,0.001942180890613226
Aaltonen,0.0019221666604956123
Manninen,0.001915762106857976
Koivisto,0.0018945470229333055
Hakala,0.0018779352119356863
Anttila,0.0018769345004298057
Laaksonen,0.0017846688995876068
Hirvonen,0.0017680570885899875
Lehto,0.0017668562347829308
Räsänen,0.0017638541002652887
Laakso,0.0017414381625335614
Toivonen,0.0017318313320771068
Rantala,0.0017222245016206522
Mustonen,0.0017048121214183285
Aalto,0.0016980072831783398
Niemelä,0.0016491725616913627
Nurmi,0.0016391654466325557
Moilanen,0.0016387651620302034
Peltonen,0.0016381647351266751
Seppälä,0.0016099446706608399
Pulkkinen,0.0015977359902890956
Hänninen,0.0015943335711691012
Saari,0.0015787224716773626
Lappalainen,0.0015685152143173797
Kettunen,0.0015667139336067945
Partanen,0.0015493015534044706
Kemppainen,0.001523483196552749
Koskela,0.0015190800659268741
Kauppinen,0.0015186797813245218
Seppänen,0.0015120750853857092
Ahola,0.0015024682549292546
Salmi,0.0014966641281951468
Lahti,0.0014932617090751524
Ikonen,0.0014474291221058173
Huttunen,0.0014466285529011126
Aho,0.0014446271298893514
Suominen,0.0014308173111081978
Kärkkäinen,0.0014144056424117547
Halonen,0.0014116036501952889
Pesonen,0.0014116036501952889
Nyman,0.001385385008741215
Koponen,0.001373376470670647
Mikkonen,0.001373376470670647
Johansson,0.0013717753322612378
Peltola,0.0013683729131412435
Oksanen,0.0013581656557812604
Lindholm,0.0013567646596730275
Niskanen,0.001351360817541272
Vainio,0.0013491592522283343
Heiskanen,0.0013419541293859935
Mikkola,0.0013267433144966072
Koski,0.0013049278036684083
Honkanen,0.0013037269498613515
Immonen,0.0012949206886096014
Nurminen,0.0012785090199131583
Vuorinen,0.001276707739202573
Harju,0.0012739057469861072
Määttä,0.0012638986319273003
Kokkonen,0.0012540916591696697
Karppinen,0.001236879421268522
Rissanen,0.0012366792789673458
Mäki,0.0012200674679697266
Laukkanen,0.0011960503918285901
Heino,0.001192848115009772
Rajala,0.0011908466919980105
Juntunen,0.0011906465496968346
Rautiainen,0.0011734343117956868
Jääskeläinen,0.0011718331733862777
Kangas,0.0011716330310851016
Keränen,0.0011704321772780448
Parviainen,0.0011702320349768686
Hartikainen,0.0011552213623886583
Paananen,0.001150417947160431
Leino,0.0011334058515604594
Karlsson,0.0011304037170428174
Mäenpää,0.001126801155621647
Lindström,0.0011131914791416696
Ruotsalainen,0.0011055860716969765
Martikainen,0.001098781233456988
Hyvärinen,0.0010925768221205277
Uusitalo,0.001090175114506414
Kokko,0.0010873731222899481
Hakkarainen,0.0010869728376875958
Laurila,0.0010817691378570164
Toivanen,0.001065357469160573
Tikkanen,0.0010641566153535163
Nevalainen,0.0010553503541017664
Viitanen,0.001054950069499414
Salmela,0.0010403396815135562
Makkonen,0.0010277307165394596
Nykänen,0.001023928012817113
Leskinen,0.001019524882191238
Kuusisto,0.0010083169133253743
Holopainen,0.0010023126442900902
Häkkinen,0.0010001110789771527
Hietala,0.0009981096559653914
Andersson,0.000987101829400704
Ranta,0.0009855006909912948
Tamminen,0.0009847001217865902
Korpela,0.0009810975603654199
Eriksson,0.0009780954258477778
Härkönen,0.0009774949989442493
Kukkonen,0.0009698895914995562
Karhu,0.0009600826187419255
Karvonen,0.0009566801996219312
Hyvönen,0.0009560797727184028
Jaakkola,0.0009514764997913517
Tiainen,0.0009500755036831187
Pasanen,0.0009480740806713573
Jokela,0.0009462727999607721
Saarela,0.0009254580006384539
Väänänen,0.0009232564353255164
Sillanpää,0.000919653873904346
Kosonen,0.0009192535893019937
Rautio,0.0009078454781349539
Kujala,0.0009048433436173119
Virta,0.0009044430590149596
Malinen,0.0009042429167137835
Lindroos,0.0008922343786432153
Autio,0.0008868305365114596
Kivelä,0.0008808262674761756
Timonen,0.0008778241329585335
Lindqvist,0.0008760228522479483
Jussila,0.0008600114681538574
Valtonen,0.0008584103297444483
Kolehmainen,0.000858010045142096
Hokkanen,0.0008568091913350392
Räisänen,0.0008564089067326869
Rinne,0.0008562087644315108
Lampinen,0.0008552080529256301
Tolonen,0.0008494039261915222
Huhtala,0.0008458013647703517
Nissinen,0.0008395969534338915
Nousiainen,0.0008297899806762608
Eskelinen,0.0008253868500503859
Vartiainen,0.0008207835771233346
Koivula,0.0008185820118103972
Laakkonen,0.0008121774581727609
Lindberg,0.0008081746121492381
Lepistö,0.000807974469848062
Asikainen,0.0008049723353304199
