first name,weight
Tuula,0.010971954094352985
Anne,0.010892908022349917
Päivi,0.010749547191762536
Anna,0.010410367682803923
Ritva,0.010143407539629928
Leena,0.010113226312137848
Pirjo,0.010019448926716027
Sari,0.009938606353076527
Minna,0.009937528452094667
Marja,0.009462174119094405
Tiina,0.009287194859705798
Riitta,0.009035325330277844
Tarja,0.00884381825583405
Laura,0.00839074054312556
Pirkko,0.00804257852598478
Seija,0.007688667703607412
Aino,0.007687230502298264
Jaana,0.007685793300989118
Satu,0.0076836374990253975
Heidi,0.007647348165969445
Sirpa,0.007626508746986818
Hanna,0.0076081844302951975
Sanna,0.007551414978583904
Raija,0.007469494503962544
Liisa,0.007468057302653397
Eeva,0.007416677355851403
Maria,0.0072557108092269765
Eija,0.007209720367334283
Merja,0.007028992302709088
Anja,0.007025399299436222
Johanna,0.006993062269980422
Kirsi,0.006949586930378735
Arja,0.006665021071167693
Eila,0.006626216635820734
Maija,0.0063571006906830195
Paula,0.006300331238971725
Ulla,0.006117088072055524
Jenni,0.006044509405943618
Elina,0.005849768628554243
Katja,0.005658980154765023
Sirkka,0.005522805330723375
Mari,0.005428309344646982
Nina,0.0053586050811533685
Heli,0.005357167879844222
Anni,0.0053226750484247016
Emma,0.005303632131078508
Terttu,0.00475354333000262
Raili,0.004747075924111459
Mirja,0.004689587871745593
Kirsti,0.004603355793196792
Anu,0.004504548203192959
Helena,0.004484427384864905
Hilkka,0.004472929774391732
Emilia,0.004402866210570831
Tuija,0.004398195306316104
Sara,0.0043180713333311775
Kaija,0.00422177884561835
Ella,0.004187286014198831
Niina,0.004186926713871544
Sofia,0.004179022106671237
Suvi,0.0040428472826295895
Kaisa,0.003986077830918296
Pia,0.003969550015863109
Tanja,0.0039235595739704155
Jenna,0.0038581669144042425
Saara,0.003826189185275729
Kati,0.0037352862024722018
Maarit,0.0037248664929808886
Henna,0.003720914189380735
Veera,0.0037094165789075617
Aila,0.0036889364602522216
Marjo,0.003684265555997495
Leila,0.0036393530150866616
Noora,0.003632167008540928
Katri,0.0036278554046134883
Irma,0.0036256996026497682
Julia,0.003558510441447161
Susanna,0.0035085676959543143
Iida,0.003480901570753241
Riikka,0.003465451656679914
Lea,0.0034539540462067407
Outi,0.0033041258097282
Marja-Leena,0.0032897537966367334
Venla,0.0032829270904182867
Mervi,0.00326424347339938
Milla,0.0032329843449254397
Helmi,0.00323190644394358
Taina,0.0032139414275792464
Jonna,0.0031726218899412796
Sinikka,0.003128068649357733
Virpi,0.0031205233424847125
Emmi,0.003111181533975259
Kerttu,0.0031032769267749527
Irja,0.0030386028678633524
Miia,0.0030386028678633524
Sonja,0.002948059185387112
Tiia,0.0028945234366213983
Marja-Liisa,0.002874043317966058
Lotta,0.0028000274505450046
Marika,0.002775235727962225
Siiri,0.0027709241240347847
Elli,0.002740024295888131
Terhi,0.0026667270291216507
Elsa,0.002662415425194211
Vilma,0.002660978223885064
Sini,0.0026430132075207307
Sanni,0.0026192993859198107
Annika,0.0025837286535184303
Oona,0.002566841538135957
Ida,0.0025503137230807704
Mira,0.002540971914571317
Aada,0.002532348706716437
Teija,0.002510790687079237
Mia,0.00248025015925987
Sisko,0.0024342597173671768
Essi,0.0023483869391456628
Nea,0.002338326529981636
Viivi,0.002320002213290016
Anita,0.0022923360880889427
Linda,0.0022847907812159228
Piia,0.0022276620291773424
Taru,0.002199277303321696
Petra,0.0020641803802619084
Maire,0.002062383878625475
Anneli,0.002031124750151535
Aune,0.002028609647860528
Airi,0.002026813146224095
Roosa,0.002009207430187048
Marita,0.002007051628223328
Elisa,0.001985493608586128
Olivia,0.001959264684694201
Salla,0.001955312381094048
Silja,0.0019423775693117279
Iina,0.0019416589686571545
Pinja,0.0019387845660388612
Amanda,0.0019305206585112679
Erja,0.0019283648565475479
Ronja,0.0018830930153094277
Enni,0.0018694396028725343
Lilja,0.001860097794363081
Anna-Liisa,0.0018230898606525542
Vuokko,0.0017932679334877607
Inka,0.0017634460063229672
Krista,0.0017444030889767737
Milja,0.0017167369637757003
Riina,0.0017034428516660937
Eevi,0.0016772139277741668
Jasmin,0.0016588896110825467
Ellen,0.0016491885022458068
Ilona,0.0016445175979910801
Marianne,0.0016312234858814733
Marjatta,0.0016305048852268999
Marjut,0.0016258339809721732
Jenny,0.0016254746806448866
Eveliina,0.0016168514727900065
Iiris,0.001592419050534513
Eva,0.0015575669187877063
Linnea,0.001546069308314533
Pihla,0.0015334937968594995
Saana,0.0015252298893319062
Soile,0.0015144508795133062
Alisa,0.0014943300611852527
Martta,0.001485347553003086
Nelli,0.0014824731503847927
Kristiina,0.0014451059163469791
Anniina,0.0014379199098012458
Helvi,0.0014210327944187725
Katariina,0.0014206734940914857
Salme,0.001406301481000019
Aili,0.0014037863787090125
Hannele,0.0013897736659448322
Reetta,0.0013861806626719656
Minttu,0.001373964451544219
Asta,0.001355640134852599
Saija,0.0013365972175064054
Auli,0.001327255408996952
Matilda,0.0013146798975419186
Nella,0.001302463686414172
Maija-Liisa,0.0012909660759409987
Elvi,0.0012891695743045652
Maiju,0.0012780312641586784
Alina,0.0012730010595766652
Sirkka-Liisa,0.0012629406504126384
Toini,0.0012615034491034918
Jessica,0.0012586290464851985
Meeri,0.001254676742885045
Heini,0.0012489279376484584
Aira,0.001241741931102725
Laila,0.0012302443206295517
Armi,0.0012270106176839716
Tuuli,0.0012140758059016516
Meri,0.001194314287900885
Rauni,0.0011900026839734448
Hilla,0.0011878468820097248
Kaisu,0.0011741934695728314
Erika,0.0011619772584450848
Eira,0.0011375448361895912
