middle name,weight
Maria,0.05712702202105752
Anneli,0.036209963704353726
Helena,0.03492982151588074
Johanna,0.029522582453547466
Kaarina,0.02947575963650205
Hannele,0.0261643990514398
Marjatta,0.02548244223991438
Kristiina,0.022669569468975106
Emilia,0.018244653996900777
Tuulikki,0.017952887327420494
Annikki,0.0164768537615126
Sofia,0.01609908599949992
Elina,0.015237482461351268
Maarit,0.015004005421254055
Susanna,0.014999864627909903
Liisa,0.01414686119901449
Katariina,0.014072963963949615
Inkeri,0.012315356450639355
Sinikka,0.010606164367199184
Kyllikki,0.010349435179861729
Orvokki,0.009830880444147864
Tellervo,0.009383356240414462
Karoliina,0.008878497974992794
Irmeli,0.008559019842363182
Pauliina,0.008552330868499552
Elisabet,0.00811818461249341
Eveliina,0.007457250290253687
Aurora,0.0063255396170403206
Elisabeth,0.006315028372397472
Irene,0.006291139180027361
Leena,0.006200360249020941
Katriina,0.006072314177917149
Ilona,0.006011476368014601
Marika,0.00598822422077436
Tuulia,0.005980579679215925
Marjaana,0.0058283258931770875
Matilda,0.0056913611902551205
Marketta,0.005648360643988922
Amanda,0.005620649180839593
Marita,0.00560185634950844
Marja,0.005532418430352652
Anna,0.005449602563469603
Marianne,0.00538844623100212
Annika,0.005209436549508758
Olivia,0.005096042516391968
Linnea,0.004984559618664786
Anita,0.004884543533275256
Mirjami,0.004859698773210341
Aino,0.004766053139119508
Sisko,0.00475490484934679
Maaria,0.004747578830353289
Elisa,0.004352929372399064
Aleksandra,0.0042790321373341895
Maija,0.00418697911606803
Riitta,0.004175830826295312
Birgitta,0.0038971235819773562
Julia,0.0038553971259708965
Alexandra,0.003761114446750194
Anniina,0.0036005790740230516
Aulikki,0.0031836330365233897
Helmi,0.003158788276458475
Margareta,0.0031578327087636708
Kristina,0.0031501881672052353
Hellevi,0.003079476157789708
Päivikki,0.0030100382386339204
Mari,0.002961304286198895
Vilhelmiina,0.002852688091556126
Marjut,0.002826887763796407
Kaisa,0.0026593448946406984
Helinä,0.0026329075217511096
Mirjam,0.0026000996975628246
Maritta,0.002538624842530407
Josefiina,0.0024838389613616205
Iida,0.0024417939827902258
Alina,0.002359615161037046
Ida,0.002308333028082542
Ellen,0.0022580064628228425
